"female","black","age","education","state","income","vote"
0,0,63,"SomeCol",2,"34-67th Percentile","Gore"
1,0,40,"SomeCol",3,"34-67th Percentile","Bush"
0,0,43,"SomeCol",9,"68-95th Percentile","Bush"
1,0,47,"ColGrad",7,"34-67th Percentile","Gore"
1,1,26,"ColGrad",8,"68-95th Percentile","Gore"
1,0,48,"HS",15,"34-67th Percentile","Gore"
0,0,37,"HS",11,"17-33rd Percentile","Gore"
1,0,18,"HS",12,"34-67th Percentile","Bush"
0,0,31,"SomeCol",45,"68-95th Percentile","Bush"
1,0,18,"HS",45,"17-33rd Percentile","NoIntent"
1,0,22,"SomeCol",22,"34-67th Percentile","Gore"
1,0,44,"ColGrad",22,"68-95th Percentile","Bush"
0,0,72,"HS",15,"17-33rd Percentile","Bush"
1,0,43,"HS",39,"68-95th Percentile","Bush"
1,0,57,"HS",45,"0-16th Percentile","Gore"
0,0,43,"ColGrad",12,"68-95th Percentile","Gore"
1,0,63,"SomeCol",46,"0-16th Percentile","Gore"
1,0,40,"HS",18,"17-33rd Percentile","Bush"
1,0,44,"ColGrad",45,"68-95th Percentile","Gore"
0,0,29,"SomeCol",22,"34-67th Percentile","Bush"
0,0,63,"HS",25,"34-67th Percentile","NoIntent"
1,0,57,"HS",24,"17-33rd Percentile","Bush"
1,0,39,"SomeCol",31,"68-95th Percentile","Gore"
0,0,68,"HS",32,"17-33rd Percentile","Bush"
1,0,22,"HS",47,"34-67th Percentile","Gore"
1,0,76,"SomeCol",31,"17-33rd Percentile","Bush"
0,0,53,"HS",31,"0-16th Percentile","Bush"
1,1,59,"HS",26,"0-16th Percentile","Gore"
1,0,30,"ColGrad",45,"34-67th Percentile","Gore"
1,0,67,"HS",9,"0-16th Percentile","Bush"
1,0,43,"HS",38,"34-67th Percentile","Gore"
1,0,34,"HS",8,"0-16th Percentile","Bush"
1,0,23,"SomeCol",8,"68-95th Percentile","Bush"
1,0,30,"ColGrad",18,"68-95th Percentile","Bush"
0,0,37,"HS",28,"34-67th Percentile","Gore"
0,0,47,"ColGrad",12,"96-100th Percentile","Bush"
0,0,50,"SomeCol",27,"17-33rd Percentile","Bush"
0,0,37,"HS",34,"17-33rd Percentile","NoIntent"
1,0,45,"HS",30,"17-33rd Percentile","Gore"
1,0,51,"HS",34,"0-16th Percentile","Gore"
0,0,34,"<HS",25,"17-33rd Percentile","Bush"
1,0,56,"HS",31,"17-33rd Percentile","Bush"
1,0,60,"SomeCol",1,"34-67th Percentile","Gore"
1,0,58,"HS",14,"34-67th Percentile","NoIntent"
1,0,38,"ColGrad",17,"68-95th Percentile","Bush"
1,0,58,"SomeCol",32,"34-67th Percentile","Gore"
0,1,30,"HS",32,"0-16th Percentile","Gore"
1,0,37,"HS",18,"68-95th Percentile","NoIntent"
0,0,46,"ColGrad",46,"34-67th Percentile","Gore"
0,0,54,"SomeCol",38,"34-67th Percentile","Bush"
1,0,84,"HS",7,"0-16th Percentile","Gore"
0,0,47,"SomeCol",12,"17-33rd Percentile","Gore"
1,0,40,"SomeCol",13,"34-67th Percentile","Gore"
1,0,24,"SomeCol",31,"17-33rd Percentile","Bush"
1,0,37,"SomeCol",26,"68-95th Percentile","Bush"
1,0,34,"SomeCol",29,"34-67th Percentile","Gore"
1,0,64,"ColGrad",10,"17-33rd Percentile","Bush"
1,0,34,"HS",31,"0-16th Percentile","Bush"
1,0,82,"<HS",8,"17-33rd Percentile","Bush"
0,0,56,"SomeCol",26,"68-95th Percentile","Bush"
0,0,25,"ColGrad",25,"68-95th Percentile","Gore"
1,0,47,"SomeCol",33,"34-67th Percentile","Bush"
0,0,57,"HS",13,"17-33rd Percentile","Gore"
0,0,49,"ColGrad",30,"68-95th Percentile","Bush"
1,0,35,"HS",14,"34-67th Percentile","Gore"
